,id,humidity,temperature,created_at,updated_at
163,229037,20.0,18.4,2024-02-15 00:36:08.708235,2024-02-15 00:36:08.708235
164,229038,20.0,18.4,2024-02-15 00:36:18.733274,2024-02-15 00:36:18.733274
165,229039,20.0,18.4,2024-02-15 00:36:28.763578,2024-02-15 00:36:28.763578
166,229040,20.0,18.4,2024-02-15 00:36:38.797326,2024-02-15 00:36:38.797326
167,229041,20.0,18.4,2024-02-15 00:36:48.829474,2024-02-15 00:36:48.829474
168,229042,20.0,18.4,2024-02-15 00:36:58.862241,2024-02-15 00:36:58.862241
169,229043,20.0,18.4,2024-02-15 00:37:08.881167,2024-02-15 00:37:08.881167
170,229044,20.0,18.4,2024-02-15 00:37:18.916364,2024-02-15 00:37:18.916364
171,229045,20.0,18.4,2024-02-15 00:37:28.945412,2024-02-15 00:37:28.945412
172,229046,20.0,18.4,2024-02-15 00:37:38.973766,2024-02-15 00:37:38.973766
173,229047,20.0,18.4,2024-02-15 00:37:49.006424,2024-02-15 00:37:49.006424
174,229048,20.0,18.3,2024-02-15 00:37:59.035856,2024-02-15 00:37:59.035856
175,229049,20.0,18.4,2024-02-15 00:38:09.060969,2024-02-15 00:38:09.060969
176,229050,20.0,18.4,2024-02-15 00:38:19.094591,2024-02-15 00:38:19.094591
177,229051,20.0,18.4,2024-02-15 00:38:29.126777,2024-02-15 00:38:29.126777
178,229052,20.0,18.4,2024-02-15 00:38:39.160092,2024-02-15 00:38:39.160092
179,229053,20.0,18.4,2024-02-15 00:38:49.189512,2024-02-15 00:38:49.189512
180,229054,20.0,18.4,2024-02-15 00:38:59.222611,2024-02-15 00:38:59.222611
181,229055,20.0,18.4,2024-02-15 00:39:09.243428,2024-02-15 00:39:09.243428
182,229056,20.0,18.4,2024-02-15 00:39:19.275004,2024-02-15 00:39:19.275004
183,229057,20.0,18.4,2024-02-15 00:39:29.306621,2024-02-15 00:39:29.306621
184,229058,20.0,18.4,2024-02-15 00:39:39.339011,2024-02-15 00:39:39.339011
185,229059,20.0,18.3,2024-02-15 00:39:49.374273,2024-02-15 00:39:49.374273
186,229060,20.0,18.3,2024-02-15 00:39:59.402593,2024-02-15 00:39:59.402593
187,229061,20.0,18.3,2024-02-15 00:40:09.434243,2024-02-15 00:40:09.434243
188,229062,20.0,18.4,2024-02-15 00:40:19.459857,2024-02-15 00:40:19.459857
189,229063,20.0,18.3,2024-02-15 00:40:29.477898,2024-02-15 00:40:29.477898
190,229064,20.0,18.3,2024-02-15 00:40:39.514491,2024-02-15 00:40:39.514491
191,229065,20.0,18.3,2024-02-15 00:40:49.542761,2024-02-15 00:40:49.542761
192,229066,20.0,18.3,2024-02-15 00:40:59.576428,2024-02-15 00:40:59.576428
193,229067,20.0,18.3,2024-02-15 00:41:09.605527,2024-02-15 00:41:09.605527
194,229068,20.0,18.3,2024-02-15 00:41:19.638036,2024-02-15 00:41:19.638036
195,229069,20.0,18.4,2024-02-15 00:41:29.664072,2024-02-15 00:41:29.664072
196,229070,20.0,18.3,2024-02-15 00:41:39.693273,2024-02-15 00:41:39.693273
197,229071,20.0,18.3,2024-02-15 00:41:49.726032,2024-02-15 00:41:49.726032
198,229072,20.0,18.3,2024-02-15 00:41:59.764630,2024-02-15 00:41:59.764630
199,229073,20.0,18.3,2024-02-15 00:42:09.786698,2024-02-15 00:42:09.786698
200,229074,20.0,18.3,2024-02-15 00:42:19.813712,2024-02-15 00:42:19.813712
201,229075,20.0,18.3,2024-02-15 00:42:29.848653,2024-02-15 00:42:29.848653
202,229076,20.0,18.3,2024-02-15 00:42:39.880705,2024-02-15 00:42:39.880705
203,229077,20.0,18.3,2024-02-15 00:42:49.914891,2024-02-15 00:42:49.914891
204,229078,20.0,18.3,2024-02-15 00:42:59.937334,2024-02-15 00:42:59.937334
205,229079,20.0,18.3,2024-02-15 00:43:09.973122,2024-02-15 00:43:09.973122
206,229080,20.0,18.3,2024-02-15 00:43:20.000370,2024-02-15 00:43:20.000370
207,229081,20.0,18.3,2024-02-15 00:43:30.029819,2024-02-15 00:43:30.029819
208,229082,20.0,18.3,2024-02-15 00:43:40.056165,2024-02-15 00:43:40.056165
209,229083,20.0,18.3,2024-02-15 00:43:50.093172,2024-02-15 00:43:50.093172
210,229084,20.0,18.3,2024-02-15 00:44:00.114705,2024-02-15 00:44:00.114705
211,229085,20.0,18.3,2024-02-15 00:44:10.145627,2024-02-15 00:44:10.145627
212,229086,20.0,18.3,2024-02-15 00:44:20.175286,2024-02-15 00:44:20.175286
213,229087,20.0,18.3,2024-02-15 00:44:30.207062,2024-02-15 00:44:30.207062
214,229088,20.0,18.3,2024-02-15 00:44:40.240920,2024-02-15 00:44:40.240920
215,229089,20.0,18.3,2024-02-15 00:44:50.273610,2024-02-15 00:44:50.273610
216,229090,20.0,18.3,2024-02-15 00:45:00.296522,2024-02-15 00:45:00.296522
217,229091,20.0,18.3,2024-02-15 00:45:10.324690,2024-02-15 00:45:10.324690
218,229092,20.0,18.3,2024-02-15 00:45:20.356962,2024-02-15 00:45:20.356962
219,229093,20.0,18.3,2024-02-15 00:45:30.387560,2024-02-15 00:45:30.387560
220,229094,20.0,18.3,2024-02-15 00:45:40.425144,2024-02-15 00:45:40.425144
221,229095,20.0,18.3,2024-02-15 00:45:50.456072,2024-02-15 00:45:50.456072
222,229096,20.0,18.3,2024-02-15 00:46:00.479636,2024-02-15 00:46:00.479636
223,229097,20.0,18.3,2024-02-15 00:46:10.530188,2024-02-15 00:46:10.530188
224,229098,20.0,18.3,2024-02-15 00:46:20.538934,2024-02-15 00:46:20.538934
225,229099,20.0,18.3,2024-02-15 00:46:30.569962,2024-02-15 00:46:30.569962
226,229100,20.0,18.3,2024-02-15 00:46:40.601384,2024-02-15 00:46:40.601384
227,229101,20.0,18.3,2024-02-15 00:46:50.644561,2024-02-15 00:46:50.644561
228,229102,20.0,18.3,2024-02-15 00:47:00.661681,2024-02-15 00:47:00.661681
229,229103,20.0,18.3,2024-02-15 00:47:10.683455,2024-02-15 00:47:10.683455
230,229104,20.0,18.3,2024-02-15 00:47:20.718745,2024-02-15 00:47:20.718745
231,229105,20.0,18.3,2024-02-15 00:47:30.747967,2024-02-15 00:47:30.747967
232,229106,20.0,18.3,2024-02-15 00:47:40.786079,2024-02-15 00:47:40.786079
233,229107,20.0,18.3,2024-02-15 00:47:50.810154,2024-02-15 00:47:50.810154
234,229108,20.0,18.3,2024-02-15 00:48:00.843562,2024-02-15 00:48:00.843562
235,229109,20.0,18.3,2024-02-15 00:48:10.867337,2024-02-15 00:48:10.867337
236,229110,20.0,18.3,2024-02-15 00:48:20.897671,2024-02-15 00:48:20.897671
237,229111,20.0,18.3,2024-02-15 00:48:30.931997,2024-02-15 00:48:30.931997
238,229112,20.0,18.3,2024-02-15 00:48:40.966222,2024-02-15 00:48:40.966222
239,229113,20.0,18.3,2024-02-15 00:48:50.994760,2024-02-15 00:48:50.994760
240,229114,20.0,18.3,2024-02-15 00:49:01.020953,2024-02-15 00:49:01.020953
241,229115,20.0,18.3,2024-02-15 00:49:11.053582,2024-02-15 00:49:11.053582
242,229116,20.0,18.3,2024-02-15 00:49:21.082611,2024-02-15 00:49:21.082611
243,229117,20.0,18.3,2024-02-15 00:49:31.109208,2024-02-15 00:49:31.109208
244,229118,20.0,18.3,2024-02-15 00:49:41.147383,2024-02-15 00:49:41.147383
245,229119,20.0,18.3,2024-02-15 00:49:51.176018,2024-02-15 00:49:51.176018
